Temperature,Pressure,XgrGRT,XspssGRT,XprpGRT,XMgGRT,SiBT,xTiBT,XMgBT,SiMU,XabPLAG
645.4545455,9525.252525,0.041709205,0.027021595,0.19003315,0.200421471,2.699478367,0.133361638,0.508046846,3.083254777,0.869038777
648.4848485,9525.252525,0.04122677,0.027406339,0.190211959,0.200600692,2.698351629,0.135116503,0.506046205,3.083829061,0.867288741
651.5151515,9525.252525,0.040757756,0.027803708,0.190384073,0.200777196,2.697239846,0.136880727,0.504068411,3.084373999,0.865482621
654.5454545,9525.252525,0.040318066,0.028211708,0.190550122,0.200955498,2.6961276,0.138649233,0.502111504,3.084896438,0.86362584
657.5757576,9525.252525,0.039885565,0.02862959,0.190702716,0.201122807,2.695033664,0.140429651,0.50017747,3.085391654,0.861694831
660.6060606,9525.252525,0.039459301,0.029063578,0.190854782,0.201294093,2.693954035,0.142222445,0.498260729,3.085867182,0.859687013
663.6363636,9525.252525,0.039064633,0.029517137,0.190996775,0.201464402,2.692896442,0.144021375,0.496340376,3.086317964,0.857600812
666.6666667,9525.252525,0.038665562,0.0299828,0.19113209,0.201629705,2.691840924,0.145828114,0.494451664,3.086747613,0.855414791
669.6969697,9525.252525,0.038299816,0.030456619,0.191255586,0.201790303,2.690788126,0.147642245,0.492592595,3.08715862,0.853139865
672.7272727,9525.252525,0.037950779,0.030952343,0.191372992,0.201952068,2.689751181,0.149466519,0.490739929,3.087551592,0.850748566
675.7575758,9525.252525,0.037612186,0.031462138,0.191481719,0.202110026,2.688726609,0.151296887,0.488901654,3.087924897,0.848225161
678.7878788,9525.252525,0.037289327,0.031986755,0.191586398,0.202271157,2.687739188,0.153144011,0.487165172,3.088281928,0.845556547
681.8181818,9525.252525,0.037007732,0.032546284,0.19168678,0.202441707,2.686792724,0.154996886,0.485400454,3.088627157,0.842726422
684.8484848,9525.252525,0.036723954,0.033119258,0.191799646,0.202634107,2.685814753,0.156864995,0.483665936,3.088951272,0.839698405
687.8787879,9525.252525,0.036477929,0.033706947,0.19188031,0.202796967,2.684894588,0.15872787,0.481970167,3.089264633,0.836458362
690.9090909,9525.252525,0.036255185,0.034306302,0.191964688,0.202973642,2.683928854,0.160612701,0.480306922,3.089562109,0.832966474
693.9393939,9525.252525,0.036065332,0.034930343,0.192034282,0.203143416,2.683013796,0.162485681,0.478665833,3.089845878,0.829167878
696.969697,9525.252525,0.035917069,0.035561362,0.192102371,0.203323004,2.682077051,0.164375491,0.477064075,3.090116606,0.825004984
700,9525.252525,0.040331746,0.034897494,0.19398321,0.205898902,2.679104715,0.165788962,0.481292487,0,0.811766719
400,9606.060606,0.328656365,0.296352849,0.017496002,0.040962292,2.95339701,0.044816468,0.33686708,3.181340699,0
403.030303,9606.060606,0.327842487,0.28417514,0.018574382,0.042618523,2.953113435,0.04562016,0.342309113,3.176086902,0
406.0606061,9606.060606,0.32728794,0.271676231,0.019700987,0.044282732,2.952810164,0.046435825,0.347814255,3.171028847,0
409.0909091,9606.060606,0.324627099,0.26125108,0.020842652,0.045726906,2.951394912,0.047222373,0.351694633,3.166159261,0
412.1212121,9606.060606,0.319562023,0.253074829,0.021999286,0.046939724,2.94870413,0.047973363,0.353717368,3.161416454,0
415.1515152,9606.060606,0.314582309,0.244484694,0.023208886,0.048164137,2.945906975,0.048728829,0.355736594,3.15679089,0
418.1818182,9606.060606,0.309692794,0.235533756,0.024475963,0.049411339,2.942992366,0.049477258,0.35776397,3.152286282,0
421.2121212,9606.060606,0.304848958,0.226212657,0.025798413,0.050665311,2.939967321,0.050231896,0.359820638,3.147872871,0
424.2424242,9606.060606,0.300064826,0.216526256,0.027184034,0.051942966,2.936823243,0.050980259,0.361890542,3.143573017,0
427.2727273,9606.060606,0.295350747,0.206448336,0.028630436,0.053233345,2.933561124,0.05172583,0.364003253,3.139377283,0
430.3030303,9606.060606,0.290696351,0.196117699,0.030145744,0.054558609,2.930158348,0.052473718,0.36616486,3.135299407,0
433.3333333,9606.060606,0.286088565,0.185438366,0.031728851,0.055903226,2.92662956,0.053217368,0.368405741,3.131330881,0
436.3636364,9606.060606,0.28155115,0.174498289,0.033386347,0.05728589,2.922969667,0.053957265,0.370754239,3.127472491,0
439.3939394,9606.060606,0.277035624,0.163367718,0.035121141,0.058705645,2.919159526,0.054696026,0.373206663,3.123718386,0
442.4242424,9606.060606,0.272570681,0.152064534,0.03693872,0.060173639,2.9152074,0.055428334,0.375826214,3.120086399,0
445.4545455,9606.060606,0.268165684,0.140612131,0.038844552,0.061697927,2.911072759,0.056156632,0.378653194,3.116565822,0
448.4848485,9606.060606,0.263793886,0.129167283,0.04084396,0.063290361,2.906777596,0.056879873,0.381742719,3.113165162,0
451.5151515,9606.060606,0.259492766,0.117784741,0.042946778,0.064971741,2.902278382,0.057596242,0.385163518,3.109888989,0
454.5454545,9606.060606,0.25522196,0.106594549,0.04516106,0.066754887,2.897561728,0.05830718,0.389004143,3.106736076,0
457.5757576,9606.060606,0.251011276,0.095810852,0.047506174,0.068683103,2.892624707,0.059008089,0.393343201,3.103721427,0
460.6060606,9606.060606,0.246896253,0.085530868,0.049973845,0.070754872,2.887413785,0.05970059,0.398310051,3.100846047,0
463.6363636,9606.060606,0.24286529,0.075958242,0.0525978,0.073028058,2.881926646,0.060384902,0.403994722,3.098107455,0
466.6666667,9606.060606,0.238933234,0.067267837,0.055388452,0.075530857,2.876133526,0.061055102,0.41046077,3.095508452,0
469.6969697,9606.060606,0.235134027,0.05952551,0.058347763,0.078274246,2.870020838,0.061713935,0.417782584,3.093045115,0
472.7272727,9606.060606,0.231454468,0.052797901,0.061493175,0.081285844,2.863611884,0.062357535,0.425937757,3.090696496,0
475.7575758,9606.060606,0.227920597,0.047048441,0.064829373,0.08457516,2.856926746,0.062990025,0.434857032,3.088446762,0
478.7878788,9606.060606,0.217802806,0.043809672,0.068694758,0.088223033,2.850915267,0.063646526,0.442222839,3.08604312,0
481.8181818,9606.060606,0.205221802,0.041743829,0.073035827,0.092369861,2.846255269,0.064374152,0.450094305,3.083668051,0
484.8484848,9606.060606,0.193308846,0.039759177,0.077640105,0.096792711,2.841719425,0.065110303,0.458574127,3.081380121,0
487.8787879,9606.060606,0.181917006,0.037809139,0.082466947,0.10139584,2.836911876,0.065833871,0.46719327,3.079149156,0
490.9090909,9606.060606,0.171073633,0.035909691,0.087528348,0.106199024,2.831831164,0.066542882,0.47594961,3.076973771,0
493.9393939,9606.060606,0.160771765,0.034065658,0.092830027,0.11121082,2.826451497,0.067237687,0.484870385,3.074851049,0
496.969697,9606.060606,0.151058866,0.032293185,0.098364651,0.11643288,2.820781524,0.067915623,0.49395014,3.072776466,0
500,9606.060606,0.141961382,0.030609604,0.104121034,0.12186277,2.814824431,0.068578202,0.503176117,3.070746808,0
503.030303,9606.060606,0.133458918,0.029015959,0.110141182,0.127548754,2.808594467,0.069225203,0.512544631,3.068756388,0
506.0606061,9606.060606,0.125563387,0.027524237,0.116392405,0.133465151,2.802102376,0.069856018,0.522042064,3.066804315,0
509.0909091,9606.060606,0.118284415,0.026138217,0.122864144,0.139609052,2.795384137,0.070472776,0.531627829,3.064881004,0
512.1212121,9606.060606,0.114372682,0.02538463,0.127089171,0.143696301,2.790776951,0.071349124,0.536836922,3.063687899,0
515.1515152,9606.060606,0.114402816,0.025366832,0.12802674,0.14473836,2.789234296,0.072595404,0.536097212,3.063417404,0
518.1818182,9606.060606,0.114438088,0.025346654,0.128940378,0.145755177,2.787692981,0.073854424,0.535372675,3.063149922,0
521.2121212,9606.060606,0.114477424,0.025327708,0.129835883,0.146754949,2.786160157,0.075123884,0.534665703,3.062877967,0
524.2424242,9606.060606,0.114497043,0.025308246,0.130771584,0.147791316,2.784651125,0.076411436,0.533928992,3.062607827,0
527.2727273,9606.060606,0.114527804,0.025289978,0.131715147,0.148841125,2.783152321,0.077708235,0.533203463,3.062327325,0
530.3030303,9606.060606,0.114554813,0.025271072,0.132609833,0.149835787,2.78165319,0.0790202,0.532497275,3.062048315,0
533.3333333,9606.060606,0.114580657,0.025252437,0.133515886,0.15084234,2.780165256,0.08034066,0.531791103,3.061763705,0
536.3636364,9606.060606,0.114604653,0.025235465,0.134436157,0.151866807,2.778689067,0.081677128,0.531077067,3.061473663,0
539.3939394,9606.060606,0.114628179,0.025214086,0.135328948,0.152854275,2.777233344,0.083024919,0.530382911,3.061181795,0
542.4242424,9606.060606,0.1146515,0.025195863,0.13623244,0.153858174,2.775774266,0.084385907,0.529686942,3.060887618,0
545.4545455,9606.060606,0.114666766,0.025177399,0.137142599,0.154867503,2.77433623,0.085759962,0.528988346,3.060590897,0
548.4848485,9606.060606,0.114692491,0.025157976,0.138033954,0.155856925,2.772898343,0.087144721,0.528305432,3.060286094,0
551.5151515,9606.060606,0.110889857,0.024618609,0.141398287,0.158949787,2.769615566,0.088261813,0.530883367,3.059378771,0.881758849
554.5454545,9606.060606,0.103253806,0.023538165,0.147671323,0.164551982,2.764123268,0.089061178,0.537227049,3.057828378,0.882895693
557.5757576,9606.060606,0.096171902,0.022514869,0.154131874,0.170355357,2.758470432,0.089840934,0.543790152,3.056309537,0.884046677
560.6060606,9606.060606,0.089649078,0.021561337,0.160820166,0.176428446,2.752939802,0.090638424,0.550706432,3.054821919,0.885136499
563.6363636,9606.060606,0.083613959,0.020666678,0.167693562,0.182702371,2.747313671,0.091424412,0.557802021,3.053360182,0.886165313
566.6666667,9606.060606,0.078045524,0.019827536,0.174747474,0.189174362,2.741572928,0.092203549,0.565040189,3.051922305,0.887160858
569.6969697,9606.060606,0.072914173,0.019041604,0.181977027,0.195839998,2.735744111,0.09296459,0.572385926,3.050506703,0.88811376
572.7272727,9606.060606,0.059696094,0.019371156,0.187561928,0.199434531,2.732105651,0.09403221,0.570592982,3.050218302,0.901604713
575.7575758,9606.060606,0.058397279,0.019651051,0.18758455,0.199284889,2.730566241,0.095557429,0.567200742,3.053608356,0.90096719
578.7878788,9606.060606,0.057267825,0.019917156,0.187646277,0.199202794,2.72902748,0.097087535,0.564006029,3.056527563,0.90019084
581.8181818,9606.060606,0.056219163,0.020173402,0.187743215,0.199169828,2.727499131,0.09862572,0.56099197,3.059091606,0.899266239
584.8484848,9606.060606,0.055266268,0.020425545,0.187864688,0.199178193,2.725988776,0.100171122,0.558090833,3.061382828,0.898283291
587.8787879,9606.060606,0.054350982,0.020674402,0.188032277,0.199241062,2.724501076,0.101723865,0.555292533,3.063452234,0.89721038
590.9090909,9606.060606,0.05350039,0.020919136,0.188205702,0.199320191,2.723021926,0.103285406,0.552598275,3.065335533,0.89611497
593.9393939,9606.060606,0.05267637,0.021166347,0.188395764,0.19942174,2.721581491,0.104859393,0.549966364,3.067062488,0.894955324
596.969697,9606.060606,0.051897911,0.021412908,0.188599679,0.199545753,2.720151151,0.106439599,0.54740314,3.068655138,0.893778864
600,9606.060606,0.051127671,0.021658744,0.18881358,0.199681403,2.71872879,0.108028558,0.544918877,3.070130596,0.892551558
603.030303,9606.060606,0.05040269,0.021908351,0.189035178,0.19983368,2.717343261,0.109628485,0.542470314,3.07150098,0.891311645
606.0606061,9606.060606,0.049700788,0.022162371,0.18925618,0.199989882,2.715972056,0.111240745,0.54007157,3.072781011,0.890048687
609.0909091,9606.060606,0.04899392,0.022419782,0.189484497,0.200154486,2.714620723,0.112854551,0.537712929,3.073977684,0.888728396
612.1212121,9606.060606,0.048346283,0.022680158,0.189721223,0.200338052,2.713292546,0.114492794,0.535400972,3.075100653,0.887430318
615.1515152,9606.060606,0.04768668,0.022947208,0.189945246,0.200507971,2.711982403,0.116136745,0.533121821,3.076156111,0.886065079
618.1818182,9606.060606,0.047044138,0.023214838,0.190186653,0.200698955,2.710689624,0.117785539,0.530882577,3.077149971,0.88468169
621.2121212,9606.060606,0.046449088,0.0234897,0.190415364,0.20088651,2.709414395,0.11944642,0.528673654,3.078087172,0.883302784
624.2424242,9606.060606,0.045833839,0.023774259,0.190642012,0.201070536,2.708157953,0.121117841,0.526478663,3.078972454,0.881849033
627.2727273,9606.060606,0.045254759,0.024064976,0.190868273,0.201261606,2.706935432,0.122804538,0.524305706,3.079810289,0.880388112
630.3030303,9606.060606,0.044683554,0.024358246,0.191087265,0.201447156,2.705702228,0.124494634,0.522187555,3.080603568,0.878895206
633.3333333,9606.060606,0.044118504,0.024663233,0.191303432,0.201633342,2.704507906,0.126203447,0.520078428,3.081355667,0.877354215
636.3636364,9606.060606,0.043596612,0.024973283,0.191512136,0.201820682,2.703310298,0.127910765,0.51798966,3.082070289,0.87580481
639.3939394,9606.060606,0.043061616,0.025295127,0.191717786,0.202005578,2.702134682,0.129635457,0.51591692,3.082748459,0.87419108
642.4242424,9606.060606,0.042549337,0.025630324,0.191918207,0.202192906,2.701014648,0.131368466,0.513883455,3.083393858,0.872532782
645.4545455,9606.060606,0.042052361,0.025973086,0.192115353,0.202380074,2.699942064,0.133115289,0.511903396,3.084008419,0.870832588
648.4848485,9606.060606,0.041566618,0.026330052,0.192306173,0.202567242,2.698861157,0.134875603,0.509920219,3.084595153,0.869076021
651.5151515,9606.060606,0.041103662,0.026694739,0.192493257,0.202757525,2.697788448,0.136645151,0.50796486,3.085152023,0.867273571
654.5454545,9606.060606,0.040646558,0.027076421,0.192656545,0.202925774,2.696745073,0.138422606,0.506019355,3.085680163,0.865401433
657.5757576,9606.060606,0.04021132,0.027461985,0.192832418,0.203112559,2.695695894,0.140204788,0.504099221,3.086190967,0.86347681
660.6060606,9606.060606,0.039791326,0.02786821,0.192994591,0.20329247,2.694676053,0.142001149,0.502177816,3.086672084,0.861472173
663.6363636,9606.060606,0.039376674,0.028280429,0.193150239,0.203467922,2.693655595,0.143800406,0.500297531,3.087133201,0.859388819
666.6666667,9606.060606,0.038991737,0.028707956,0.193284144,0.20362919,2.692642645,0.145615954,0.49842903,3.087571629,0.857223917
669.6969697,9606.060606,0.038608325,0.029152544,0.193419563,0.203793169,2.691654852,0.147437324,0.496570222,3.08799041,0.854951668
672.7272727,9606.060606,0.038257711,0.02961042,0.193547693,0.203961826,2.690665454,0.149265742,0.494724247,3.088389594,0.852578089
675.7575758,9606.060606,0.037904668,0.030084382,0.193664761,0.204120291,2.689681676,0.151100346,0.492901496,3.088772731,0.850075731
678.7878788,9606.060606,0.037590354,0.030571291,0.193772336,0.204280236,2.68871858,0.152945625,0.4911073,3.089133666,0.847446972
681.8181818,9606.060606,0.037294448,0.031066581,0.193863709,0.204424113,2.687762238,0.154799937,0.48934941,3.089482053,0.84466329
684.8484848,9606.060606,0.037020517,0.031595576,0.193968069,0.204601015,2.686810738,0.1566606,0.487565705,3.089811394,0.841694219
687.8787879,9606.060606,0.036755228,0.032131251,0.194048275,0.204748545,2.685872697,0.158530695,0.485834492,3.090124625,0.838515285
690.9090909,9606.060606,0.036528814,0.032677836,0.194126314,0.204907201,2.684930161,0.160404484,0.484131113,3.09042985,0.835103166
693.9393939,9606.060606,0.036313873,0.033250566,0.194196369,0.205064507,2.684000403,0.162283486,0.482425106,3.090716218,0.831393768
696.969697,9606.060606,0.036156958,0.033813998,0.19425157,0.20521513,2.68306091,0.164171875,0.480813891,3.090987578,0.827364105
700,9606.060606,0.039840855,0.034203668,0.194221154,0.205861079,2.679767924,0.16572032,0.481191442,3.091116235,0.815265919
400,9686.868687,0.329678979,0.293606968,0.017511399,0.040788472,2.954004301,0.044767837,0.336288127,3.184171339,0
403.030303,9686.868687,0.32882711,0.281438939,0.018592673,0.042447261,2.953717901,0.045571978,0.341753938,3.178869196,0
406.0606061,9686.868687,0.3282405,0.26896954,0.019723004,0.044117651,2.953420589,0.046382581,0.347277649,3.173764748,0
409.0909091,9686.868687,0.325726662,0.258330402,0.020868778,0.045576014,2.952098514,0.047175857,0.351321467,3.168839208,0
412.1212121,9686.868687,0.320634741,0.250143876,0.022026464,0.046786561,2.949438353,0.047929225,0.353364608,3.164056068,0
415.1515152,9686.868687,0.315633287,0.24156985,0.023239156,0.048015564,2.946669305,0.048682463,0.355406139,3.159386205,0
418.1818182,9686.868687,0.310687756,0.232649614,0.024507366,0.049258975,2.943778262,0.049432367,0.357446486,3.154833613,0
421.2121212,9686.868687,0.3058227,0.223281481,0.025831239,0.050509203,2.940794375,0.05018701,0.35953829,3.150370931,0
424.2424242,9686.868687,0.301017707,0.213595408,0.027218281,0.05178615,2.937674824,0.050936658,0.361623561,3.146029305,0
427.2727273,9686.868687,0.296274487,0.203584393,0.02866898,0.053085484,2.934436271,0.051686426,0.36376484,3.141799914,0
430.3030303,9686.868687,0.29159099,0.193272459,0.030186751,0.054411983,2.931077542,0.052433779,0.365953357,3.13767929,0
433.3333333,9686.868687,0.286966113,0.182582475,0.031771853,0.055756267,2.927577913,0.053178473,0.368229663,3.133664402,0
436.3636364,9686.868687,0.282385989,0.171692932,0.033432516,0.057141324,2.923946999,0.053919885,0.370600389,3.12976638,0
439.3939394,9686.868687,0.277862724,0.16060313,0.035172405,0.058571148,2.920171587,0.054656598,0.373091173,3.125984446,0
442.4242424,9686.868687,0.273374919,0.149276161,0.036991552,0.060035265,2.916238698,0.055392464,0.375764212,3.122306089,0
445.4545455,9686.868687,0.268948393,0.137908926,0.038902743,0.061570406,2.912134248,0.056123215,0.378656725,3.118755252,0
448.4848485,9686.868687,0.264557439,0.126507619,0.040907052,0.063169321,2.907859367,0.056848248,0.381807947,3.115320596,0
451.5151515,9686.868687,0.260220709,0.115205565,0.043015478,0.064858647,2.90338107,0.05756624,0.385330556,3.112014644,0
454.5454545,9686.868687,0.25594739,0.10418556,0.045239704,0.066666865,2.898700105,0.058278229,0.389250898,3.108841862,0
457.5757576,9686.868687,0.251745533,0.093518655,0.047587811,0.068607827,2.893764203,0.058981737,0.393707081,3.105803825,0
460.6060606,9686.868687,0.247611636,0.083417109,0.050072273,0.070711023,2.888569871,0.05967505,0.398806961,3.102906724,0
463.6363636,9686.868687,0.243573972,0.074054115,0.052708752,0.073013717,2.883088696,0.060359316,0.404633944,3.10015466,0
466.6666667,9686.868687,0.239648897,0.065572354,0.05550962,0.075544015,2.877299403,0.061030298,0.411269702,3.097542154,0
469.6969697,9686.868687,0.235850281,0.058077159,0.058486287,0.078327137,2.871207741,0.061687869,0.418725808,3.095059224,0
472.7272727,9686.868687,0.232172416,0.051559528,0.061644026,0.081367947,2.864813272,0.062335785,0.427024306,3.092696947,0
475.7575758,9686.868687,0.228646818,0.046011507,0.064992659,0.084687387,2.858144985,0.062971243,0.436063543,3.090430359,0
478.7878788,9686.868687,0.216667986,0.043336232,0.06896542,0.088384238,2.852406289,0.063636856,0.442904893,3.087932977,0
